Shop Name:;Coop
Shop Address:;c h
Shop UID:;
Receipt date:;

Items;Amount;Price [CHF];Total Price [CHF]
"o t a l 
 R u c h b r a t";5;0;
L   .;1;2;
G   i r -;2;8;
;1;4;
P   I P   R a h n   e;5;4;
.;4;0;
A p p e n z e l l e r   E x t r a - d   ,;0;4;
;1;2;
S a i n t   G g u r;0;1;
y   L o o;3;5;
C H A U H E S;4;0;
.;6;1;
;0;0;
¢ .;9;5;
P r é s i d e n t   C a r r e   @   .;3;4;
"E A R L 
 B O U R S I N   P F E F F E R   o";1;3;
.;3;6;
H o t   C h i l l   S a u c e;2;4;
;0;1;
K;2;1;
%;3;3;
f o .   I   %;4;0;

;;;
;;;
